round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
100,-117.36400604248047,0.30203092098236084,-79.93938446044922,0.33222925662994385,32,0.1,100,binary_crossentropy,50,rmsprop
100,-75.21810913085938,0.33602654933929443,-60.997371673583984,0.34319016337394714,32,0.1,100,binary_crossentropy,50,Adam
100,-235.6652374267578,0.30117499828338623,-163.03671264648438,0.31206706166267395,32,0.1,100,binary_crossentropy,100,rmsprop
100,-146.60682678222656,0.34734633564949036,-112.41886138916016,0.35307446122169495,32,0.1,100,binary_crossentropy,100,Adam
100,77.59529876708984,0.9794425368309021,88.41814422607422,0.9863702654838562,32,0.1,100,categorical_crossentropy,50,rmsprop
100,60.91118621826172,1.0229930877685547,75.47086334228516,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,Adam
100,127.54769897460938,1.0000674724578857,145.09002685546875,1.0133394002914429,32,0.1,100,categorical_crossentropy,100,rmsprop
100,93.09716033935547,1.0229930877685547,90.64363098144531,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,Adam
100,0.2225089967250824,0.2225089967250824,0.26126527786254883,0.26126527786254883,32,0.1,100,mean_absolute_error,50,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,Adam
100,0.20920512080192566,0.20920512080192566,0.2548307776451111,0.2548307776451111,32,0.1,100,mean_absolute_error,100,rmsprop
100,0.2909349203109741,0.2909349203109741,0.2988106906414032,0.2988106906414032,32,0.1,100,mean_absolute_error,100,Adam
100,-94.88948822021484,0.3219428062438965,-67.38777160644531,0.32320550084114075,32,0.5,100,binary_crossentropy,50,rmsprop
100,-71.722412109375,0.35162249207496643,-55.57635498046875,0.34082841873168945,32,0.5,100,binary_crossentropy,50,Adam
100,-192.64601135253906,0.31673651933670044,-146.34095764160156,0.31468209624290466,32,0.5,100,binary_crossentropy,100,rmsprop
100,-128.5088348388672,0.35714012384414673,-112.50115966796875,0.34047931432724,32,0.5,100,binary_crossentropy,100,Adam
100,82.68980407714844,0.975433886051178,87.93506622314453,1.0037368535995483,32,0.5,100,categorical_crossentropy,50,rmsprop
100,78.26679992675781,1.0229930877685547,82.20703887939453,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,Adam
100,150.6124267578125,0.9950675368309021,158.5255126953125,1.0081125497817993,32,0.5,100,categorical_crossentropy,100,rmsprop
100,107.29481506347656,1.0229930877685547,108.11832427978516,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,Adam
100,0.243627667427063,0.243627667427063,0.2709188461303711,0.2709188461303711,32,0.5,100,mean_absolute_error,50,rmsprop
100,0.28530722856521606,0.28530722856521606,0.29404008388519287,0.29404008388519287,32,0.5,100,mean_absolute_error,50,Adam
100,0.21360427141189575,0.21360427141189575,0.25744014978408813,0.25744014978408813,32,0.5,100,mean_absolute_error,100,rmsprop
100,0.29147985577583313,0.29147985577583313,0.2972193956375122,0.2972193956375122,32,0.5,100,mean_absolute_error,100,Adam
100,-58.798973083496094,0.3137780427932739,-44.106746673583984,0.32092538475990295,64,0.1,100,binary_crossentropy,50,rmsprop
100,-47.38010787963867,0.33540526032447815,-34.679664611816406,0.3487343192100525,64,0.1,100,binary_crossentropy,50,Adam
100,-116.72885131835938,0.3116307556629181,-89.396728515625,0.31699323654174805,64,0.1,100,binary_crossentropy,100,rmsprop
100,-84.75138092041016,0.3344481885433197,-67.46803283691406,0.34054648876190186,64,0.1,100,binary_crossentropy,100,Adam
100,33.81471633911133,0.98382967710495,37.390541076660156,1.007275938987732,64,0.1,100,categorical_crossentropy,50,rmsprop
100,31.050424575805664,1.0229932069778442,33.33891296386719,1.0227375030517578,64,0.1,100,categorical_crossentropy,50,Adam
100,45.587738037109375,0.9850871562957764,49.24758529663086,1.0119751691818237,64,0.1,100,categorical_crossentropy,100,rmsprop
100,46.10136413574219,1.0229932069778442,50.74989318847656,1.0227375030517578,64,0.1,100,categorical_crossentropy,100,Adam
100,0.2282198816537857,0.2282198816537857,0.26442012190818787,0.26442012190818787,64,0.1,100,mean_absolute_error,50,rmsprop
100,0.28959861397743225,0.28959861397743225,0.2972104251384735,0.2972104251384735,64,0.1,100,mean_absolute_error,50,Adam
100,0.20459748804569244,0.20459748804569244,0.2561773955821991,0.2561773955821991,64,0.1,100,mean_absolute_error,100,rmsprop
100,0.29114922881126404,0.29114922881126404,0.2981926202774048,0.2981926202774048,64,0.1,100,mean_absolute_error,100,Adam
100,-50.756187438964844,0.3356046974658966,-39.37239456176758,0.32394880056381226,64,0.5,100,binary_crossentropy,50,rmsprop
100,-45.13414001464844,0.3488789200782776,-35.04325866699219,0.33802497386932373,64,0.5,100,binary_crossentropy,50,Adam
100,-105.671875,0.3208901286125183,-77.65679168701172,0.3119986355304718,64,0.5,100,binary_crossentropy,100,rmsprop
100,-63.47990036010742,0.3642657697200775,-49.7653923034668,0.3550567924976349,64,0.5,100,binary_crossentropy,100,Adam
100,42.1338005065918,0.9925857782363892,42.77769088745117,1.000798225402832,64,0.5,100,categorical_crossentropy,50,rmsprop
100,34.88156509399414,1.0229932069778442,35.43248748779297,1.0227375030517578,64,0.5,100,categorical_crossentropy,50,Adam
100,70.3736343383789,0.9875033497810364,69.28085327148438,1.0056012868881226,64,0.5,100,categorical_crossentropy,100,rmsprop
100,54.56718826293945,1.0229932069778442,55.723121643066406,1.0227375030517578,64,0.5,100,categorical_crossentropy,100,Adam
100,0.2241332232952118,0.2241332232952118,0.2552289664745331,0.2552289664745331,64,0.5,100,mean_absolute_error,50,rmsprop
100,0.24718867242336273,0.24718867242336273,0.27008500695228577,0.27008500695228577,64,0.5,100,mean_absolute_error,50,Adam
100,0.2310144007205963,0.2310144007205963,0.2629157304763794,0.2629157304763794,64,0.5,100,mean_absolute_error,100,rmsprop
100,0.2911415994167328,0.2911415994167328,0.2978963553905487,0.2978963553905487,64,0.5,100,mean_absolute_error,100,Adam
